iter	Passed	Remaining
780	981	275
781	982	273
782	983	272
783	984	271
784	985	269
785	986	268
786	987	267
787	987	265
788	988	264
789	989	263
790	990	261
791	992	260
792	994	259
793	995	258
794	996	257
795	997	255
796	998	254
797	1000	253
798	1001	251
799	1002	250
800	1003	249
801	1004	247
802	1005	246
803	1006	245
804	1007	244
805	1008	242
806	1009	241
807	1010	240
808	1011	238
809	1012	237
810	1013	236
811	1014	234
812	1015	233
813	1017	232
814	1018	231
815	1019	229
816	1020	228
817	1021	227
818	1023	226
819	1025	225
820	1026	223
821	1026	222
822	1027	221
823	1028	219
824	1029	218
825	1030	217
826	1031	215
827	1032	214
828	1033	213
829	1034	211
830	1036	210
831	1039	209
832	1040	208
833	1041	207
834	1042	206
835	1043	204
836	1044	203
837	1045	202
838	1046	200
839	1047	199
840	1048	198
841	1049	196
842	1052	195
843	1053	194
844	1054	193
845	1055	192
846	1056	190
847	1057	189
848	1058	188
849	1059	186
850	1060	185
851	1061	184
852	1062	183
853	1063	181
854	1064	180
855	1065	179
856	1067	178
857	1069	176
858	1069	175
859	1070	174
860	1071	173
861	1072	171
862	1073	170
863	1074	169
864	1075	167
865	1076	166
866	1077	165
867	1078	163
868	1079	162
869	1080	161
870	1082	160
871	1083	159
872	1084	157
873	1085	156
874	1086	155
875	1087	153
876	1088	152
877	1089	151
878	1090	150
879	1091	148
880	1092	147
881	1093	146
882	1094	145
883	1095	143
884	1096	142
885	1097	141
886	1098	139
887	1099	138
888	1099	137
889	1100	136
890	1101	134
891	1102	133
892	1103	132
893	1104	130
894	1105	129
895	1106	128
896	1107	127
897	1107	125
898	1108	124
899	1110	123
900	1112	122
901	1113	120
902	1114	119
903	1114	118
904	1115	117
905	1116	115
906	1117	114
907	1118	113
908	1119	112
909	1120	110
910	1121	109
911	1122	108
912	1123	107
913	1124	105
914	1125	104
915	1126	103
916	1127	102
917	1128	100
918	1129	99
919	1130	98
920	1131	97
921	1132	95
922	1133	94
923	1134	93
924	1135	92
925	1135	90
926	1136	89
927	1137	88
928	1139	87
929	1140	85
930	1141	84
931	1142	83
932	1143	82
933	1144	80
934	1144	79
935	1145	78
936	1146	77
937	1147	75
938	1148	74
939	1149	73
940	1150	72
941	1151	70
942	1152	69
943	1153	68
944	1155	67
945	1156	66
946	1157	64
947	1158	63
948	1159	62
949	1160	61
950	1161	59
951	1162	58
952	1163	57
953	1164	56
954	1165	54
955	1165	53
956	1166	52
957	1167	51
958	1169	49
959	1170	48
960	1171	47
961	1172	46
962	1173	45
963	1174	43
964	1175	42
965	1176	41
966	1177	40
967	1178	38
968	1179	37
969	1180	36
970	1181	35
971	1182	34
972	1184	32
973	1185	31
974	1186	30
975	1187	29
976	1188	27
977	1189	26
978	1189	25
979	1190	24
980	1192	23
981	1193	21
982	1194	20
983	1195	19
984	1196	18
985	1197	16
986	1198	15
987	1200	14
988	1201	13
989	1202	12
990	1203	10
991	1204	9
992	1205	8
993	1206	7
994	1207	6
995	1208	4
996	1209	3
997	1210	2
998	1211	1
999	1213	0
